# 10.0 sps, start/stop: 50/0 mA (5 s), channels: 4,,,,,
# V min: 5.19534, V max: 5.23541,,,,,,
# I min: 0.31158, I max: 0.51002,,,,,,
Time,Voltage,Current,Capacity,Energy,,,
27.8,5.22348,0.31332,0.00275223,0.00359698,,,279
27.9,5.22348,0.31606,0.00276097,0.00360844,,,280
28,5.22348,0.32715,0.0027699,0.00362031,,,281
28.1,5.22348,0.32713,0.00277899,0.00363218,,,282
28.2,5.22344,0.32706,0.00278807,0.00364404,,,283
28.3,5.22348,0.32699,0.00279716,0.0036559,,,284
28.4,5.22356,0.34093,0.00280643,0.00366827,,,285
28.5,5.22344,0.31283,0.00281551,0.00367961,,,286
28.6,5.22344,0.31332,0.00282421,0.00369098,,,287
28.7,5.22348,0.31606,0.00283295,0.00370245,,,288
28.8,5.22348,0.327,0.00284188,0.00371431,,,289
28.9,5.22344,0.32697,0.00285097,0.00372617,,,290
29,5.22352,0.32692,0.00286005,0.00373803,,,291
29.1,5.2236,0.32702,0.00286913,0.00374989,,,292
29.2,5.22356,0.31506,0.00287805,0.00376132,,,293
29.3,5.22352,0.35038,0.00288729,0.00377403,,,294
29.4,5.22328,0.31357,0.00289651,0.0037854,,,295
29.5,5.22313,0.31879,0.0029053,0.00379696,,,296
29.6,5.22313,0.33001,0.00291431,0.00380893,,,297
29.7,5.22305,0.32992,0.00292347,0.0038209,,,298
29.8,5.22305,0.32996,0.00293264,0.00383287,,,299
29.9,5.22289,0.33009,0.0029418,0.00384484,,,300
30,5.22285,0.31457,0.00295076,0.00385625,,,301
30.1,5.22262,0.31407,0.00295949,0.00386764,,,302
30.2,5.2227,0.31432,0.00296822,0.00387904,,,303
30.3,5.2227,0.31631,0.00297698,0.00389051,,,304
30.4,5.22274,0.32943,0.00298594,0.00390246,,,305
30.5,5.22305,0.3271,0.00299506,0.00391433,,,306
30.6,5.22313,0.32719,0.00300415,0.00392619,,,307
30.7,5.22309,0.32723,0.00301324,0.00393806,,,308
30.8,5.21287,0.36704,0.00302288,0.00395138,,,309
30.9,5.2232,0.31233,0.00303232,0.0039627,,,310
31,5.2232,0.31308,0.003041,0.00397406,,,311
31.1,5.22328,0.31581,0.00304974,0.00398552,,,312
31.2,5.22344,0.33968,0.00305884,0.00399784,,,313
31.3,5.22336,0.32764,0.00306811,0.00400972,,,314
